Date (UT)	J2000 RA	J2000 Dec	Magn	Location	Ref
2017 10 27.88926	23 54 52.96	+05 03 22.2	21.8 G	K91 – Sutherland-LCO A	MPC 106549
2017 10 27.90707	23 54 47.70	+05 03 05.3	22.1 G	J95 – Great Shefford	MPC 106549
2017 10 28.04565	23 54 04.84	+05 04 00.5	22.0 G	J95 – Great Shefford	MPC 106549
2017 10 28.190326	23 53 22.13	+05 05 02.7	21.8 G	H01 – Magdalena Ridge Observatory, Socorro	MPC 106549
2017 10 28.201518	23 53 18.75	+05 05 06.9	22.0 G	H01 – Magdalena Ridge Observatory, Socorro	MPC 106549
2017 10 28.208118	23 53 16.78	+05 05 09.4	21.8 G	H01 – Magdalena Ridge Observatory, Socorro	MPC 106549
2017 10 28.219183	23 53 13.44	+05 05 13.8	22.2 G	H01 – Magdalena Ridge Observatory, Socorro	MPC 106549
2017 10 29.288556	23 48 20.79	+05 11 44.9	22.0 G	H01 – Magdalena Ridge Observatory, Socorro	MPC 107152
2017 10 29.297331	23 48 18.53	+05 11 47.7	21.7 G	H01 – Magdalena Ridge Observatory, Socorro	MPC 107152
2017 10 29.30331	23 48 17.04	+05 11 50.1	22.6 r	705 – Apache Point	MPC 106549
2017 10 29.304991	23 48 16.57	+05 11 50.3	21.6 G	H01 – Magdalena Ridge Observatory, Socorro	MPC 107152
2017 10 29.30993	23 48 15.41	+05 11 52.1	22.5 r	705 – Apache Point	MPC 106549
2017 10 29.312004	23 48 14.76	+05 11 52.7	21.7 G	H01 – Magdalena Ridge Observatory, Socorro	MPC 107153
2017 10 29.31669	23 48 13.63	+05 11 54.8	22.5 r	705 – Apache Point	MPC 106549
2017 10 29.32845	23 48 10.61	+05 11 58.5	22.7 r	705 – Apache Point	MPC 106549
2017 10 29.33510	23 48 08.89	+05 12 00.6	22.5 r	705 – Apache Point	MPC 106549
2017 10 29.33730	23 48 08.23	+05 12 01.8	22.5 r	705 – Apache Point	MPC 106549
2017 10 30.169205	23 44 51.41	+05 16 34.4	22.7 G	H01 – Magdalena Ridge Observatory, Socorro	MPC 106549
2017 10 30.174565	23 44 50.18	+05 16 36.2	22.4 G	H01 – Magdalena Ridge Observatory, Socorro	MPC 106549
2017 10 30.18199	23 44 48.43	+05 16 38.6	22.9 r	G37 – Lowell Discovery Telescope	MPC 107153
2017 10 30.187173	23 44 47.31	+05 16 40.0	22.7 G	H01 – Magdalena Ridge Observatory, Socorro	MPC 106549
2017 10 30.29091	23 44 23.74	+05 17 12.1	22.7 r	G37 – Lowell Discovery Telescope	MPC 107153
2017 10 30.29465	23 44 22.97	+05 17 13.2	22.8 r	G37 – Lowell Discovery Telescope	MPC 107153
2017 11 09.104277	23 23 38.25	+05 55 00.7	23.5 G	H01 – Magdalena Ridge Observatory, Socorro	MPC 107153
